Version; 0.0;;;
;RM;Connect Igniter cables to ignition circuit. ;;
;RM;Confirm Manual vent valve is closed.;;
;GS;Confirm Oxidizer Valve is closed.;;
;GS;Confirm remote vent valve is closed.;;
;RM;Take positions for N2O bottle opening.;;
;RM;Remove N2O bottle cap.;;
;RM;Stepwise open N2O bottle and check for leakage. If leakage occurs close N2O bottle immediately and switch to Abort procedure.;;
;RM/GS;Check & compare pressures @Bottle-Gauge and @P-Bottle. If above 65 bar switch to Abort procedure!;;
;RM;Move to operation center.;;
;;;;
;PHASE;Ignition Preparations;;
;;Anounce Phase RED;;
;;;;
T-0;PHASE;Ignition Sequence;;
